# x[mm]	L[um]	t[s]	stress[Pa]
1.936272877632259970e+00	7.389056098930649341e+02	1.430722891566265330e-02	-0.000000000000000000e+00
1.956654697396809972e+00	7.389056098930649341e+02	1.445783132530120696e-02	-0.000000000000000000e+00
1.977036517161360418e+00	7.389056098930649341e+02	1.460843373493976236e-02	-0.000000000000000000e+00
1.997418336925910198e+00	7.389056098930649341e+02	1.475903614457831602e-02	-0.000000000000000000e+00
2.017800156690460867e+00	7.389056098930649341e+02	1.490963855421687141e-02	-0.000000000000000000e+00
2.038181976455010425e+00	7.389056098930649341e+02	1.506024096385542507e-02	-0.000000000000000000e+00
2.058563796219560427e+00	7.389056098930649341e+02	1.521084337349397873e-02	-0.000000000000000000e+00
2.078945615984110873e+00	7.389056098930649341e+02	1.536144578313253413e-02	-0.000000000000000000e+00
2.099327435748660875e+00	7.389056098930649341e+02	1.551204819277108779e-02	-0.000000000000000000e+00
2.119709255513210877e+00	7.389056098930649341e+02	1.566265060240964319e-02	-0.000000000000000000e+00
2.140091075277761323e+00	7.389056098930649341e+02	1.581325301204819858e-02	-0.000000000000000000e+00
2.160472895042311325e+00	7.389056098930649341e+02	1.596385542168675051e-02	-0.000000000000000000e+00
2.180854714806861328e+00	7.389056098930649341e+02	1.611445783132530590e-02	-0.000000000000000000e+00
2.201236534571411330e+00	7.389056098930649341e+02	1.626506024096386130e-02	-0.000000000000000000e+00
2.221618354335961332e+00	7.389056098930649341e+02	1.641566265060241323e-02	-0.000000000000000000e+00
2.242000174100511778e+00	7.389056098930649341e+02	1.656626506024096862e-02	-0.000000000000000000e+00
2.262381993865061780e+00	7.389056098930649341e+02	1.671686746987952402e-02	-0.000000000000000000e+00
2.282763813629611782e+00	7.389056098930649341e+02	1.686746987951807594e-02	-0.000000000000000000e+00
2.303145633394162228e+00	7.389056098930649341e+02	1.701807228915663134e-02	-0.000000000000000000e+00
2.323527453158712230e+00	7.389056098930649341e+02	1.716867469879518673e-02	-0.000000000000000000e+00
2.343909272923262233e+00	7.389056098930649341e+02	1.731927710843373866e-02	-0.000000000000000000e+00
2.364291092687812235e+00	7.389056098930649341e+02	1.746987951807229406e-02	-0.000000000000000000e+00
2.384672912452362237e+00	7.389056098930649341e+02	1.762048192771084945e-02	-0.000000000000000000e+00
2.405054732216912239e+00	7.389056098930649341e+02	1.777108433734940138e-02	-0.000000000000000000e+00
2.425436551981462685e+00	7.389056098930649341e+02	1.792168674698796024e-02	-0.000000000000000000e+00
2.445818371746012687e+00	7.389056098930649341e+02	1.807228915662651217e-02	-0.000000000000000000e+00
2.466200191510562689e+00	7.389056098930649341e+02	1.822289156626506756e-02	-0.000000000000000000e+00
2.486582011275113135e+00	7.389056098930649341e+02	1.837349397590362296e-02	-0.000000000000000000e+00
2.506963831039663138e+00	7.389056098930649341e+02	1.852409638554217489e-02	-0.000000000000000000e+00
2.527345650804213140e+00	7.389056098930649341e+02	1.867469879518073028e-02	-0.000000000000000000e+00
2.547727470568763142e+00	7.389056098930649341e+02	1.882530120481928568e-02	-0.000000000000000000e+00
2.568109290333313144e+00	7.389056098930649341e+02	1.897590361445783760e-02	-0.000000000000000000e+00
2.588491110097863590e+00	7.389056098930649341e+02	1.912650602409639647e-02	-0.000000000000000000e+00
2.608872929862413592e+00	7.389056098930649341e+02	1.927710843373494840e-02	-0.000000000000000000e+00
2.629254749626963594e+00	7.389056098930649341e+02	1.942771084337350032e-02	-0.000000000000000000e+00
2.649636569391514040e+00	7.389056098930649341e+02	1.957831325301205572e-02	-0.000000000000000000e+00
2.670018389156064043e+00	7.389056098930649341e+02	1.972891566265060764e-02	-0.000000000000000000e+00
2.690400208920613601e+00	7.389056098930649341e+02	1.987951807228915957e-02	-0.000000000000000000e+00
2.710782028685164047e+00	7.389056098930649341e+02	2.003012048192771496e-02	-0.000000000000000000e+00
2.731163848449714049e+00	7.389056098930649341e+02	2.018072289156626342e-02	-0.000000000000000000e+00
2.751545668214264495e+00	7.389056098930649341e+02	2.033132530120482229e-02	-0.000000000000000000e+00
2.771927487978814497e+00	7.389056098930649341e+02	2.048192771084337074e-02	-0.000000000000000000e+00
2.792309307743364499e+00	7.389056098930649341e+02	2.063253012048192267e-02	-0.000000000000000000e+00
2.812691127507914945e+00	7.389056098930649341e+02	2.078313253012047807e-02	-0.000000000000000000e+00
2.833072947272464948e+00	7.389056098930649341e+02	2.093373493975902999e-02	-0.000000000000000000e+00
2.853454767037014506e+00	7.389056098930649341e+02	2.108433734939758192e-02	-0.000000000000000000e+00
2.873836586801564952e+00	7.389056098930649341e+02	2.123493975903613731e-02	-0.000000000000000000e+00
2.894218406566114954e+00	7.389056098930649341e+02	2.138554216867468924e-02	-0.000000000000000000e+00
2.914600226330664956e+00	7.389056098930649341e+02	2.153614457831324117e-02	-0.000000000000000000e+00
2.934982046095215402e+00	7.389056098930649341e+02	2.168674698795179656e-02	-0.000000000000000000e+00
2.955363865859765404e+00	7.389056098930649341e+02	2.183734939759034849e-02	-0.000000000000000000e+00
2.975745685624315406e+00	7.389056098930649341e+02	2.198795180722890041e-02	-0.000000000000000000e+00
2.996127505388865853e+00	7.389056098930649341e+02	2.213855421686745581e-02	-0.000000000000000000e+00
3.016509325153415411e+00	7.389056098930649341e+02	2.228915662650600774e-02	-0.000000000000000000e+00
3.036891144917965857e+00	7.389056098930649341e+02	2.243975903614456313e-02	-0.000000000000000000e+00
3.057272964682515859e+00	7.389056098930649341e+02	2.259036144578311506e-02	-0.000000000000000000e+00
3.077654784447065861e+00	7.389056098930649341e+02	2.274096385542166698e-02	-0.000000000000000000e+00
3.098036604211616307e+00	7.389056098930649341e+02	2.289156626506022238e-02	-0.000000000000000000e+00
3.118418423976166309e+00	7.389056098930649341e+02	2.304216867469877431e-02	-0.000000000000000000e+00
